country,country_code_m49,year,month,temp_change_c
Andorra,020,2023,1,0.642
Andorra,020,2024,1,2.461
Andorra,020,2025,1,2.182
Andorra,020,2020,2,4.067
Andorra,020,2021,2,3.936
Andorra,020,2022,2,2.781
Andorra,020,2023,2,0.708
Andorra,020,2024,2,3.49
Andorra,020,2025,2,2.718
Andorra,020,2020,3,1.586
Andorra,020,2021,3,1.419
Andorra,020,2022,3,1.673
Andorra,020,2023,3,2.853
Andorra,020,2024,3,2.849
Andorra,020,2025,3,1.596
Andorra,020,2020,4,3.346
Andorra,020,2021,4,0.678
Andorra,020,2022,4,1.416
Andorra,020,2023,4,2.626
Andorra,020,2024,4,2.165
Andorra,020,2025,4,3.001
Andorra,020,2020,5,3.531
Andorra,020,2021,5,0.56
Andorra,020,2022,5,4.342
Andorra,020,2023,5,2.166
Andorra,020,2024,5,1.095
Andorra,020,2025,5,2.386
Andorra,020,2020,6,1.173
Andorra,020,2021,6,3.07
Andorra,020,2022,6,4.744
Andorra,020,2023,6,3.808
Andorra,020,2024,6,2.03
Andorra,020,2025,6,5.668
Andorra,020,2020,7,2.511
Andorra,020,2021,7,1.274
Andorra,020,2022,7,4.224
Andorra,020,2023,7,2.888
Andorra,020,2024,7,2.876
Andorra,020,2025,7,2.631
Andorra,020,2020,8,3.246
Andorra,020,2021,8,1.613
Andorra,020,2022,8,5.062
Andorra,020,2023,8,3.625
Andorra,020,2024,8,3.645
Andorra,020,2025,8,4.206
Andorra,020,2020,9,1.881
Andorra,020,2021,9,2.524
Andorra,020,2022,9,2.204
Andorra,020,2023,9,3.905
Andorra,020,2024,9,-0.113
Andorra,020,2025,9,0.885
Andorra,020,2020,10,0.004
Andorra,020,2021,10,1.118
Andorra,020,2022,10,5.266
Andorra,020,2023,10,4.571
Andorra,020,2024,10,2.809
Andorra,020,2025,10,2.223
Andorra,020,2020,11,3.036
Andorra,020,2021,11,0.068
Andorra,020,2022,11,3.26
Andorra,020,2023,11,2.603
Andorra,020,2024,11,3.537
Andorra,020,2025,11,1.973
Andorra,020,2020,12,1.128
Andorra,020,2021,12,2.327
Andorra,020,2022,12,2.827
Andorra,020,2023,12,2.238
Andorra,020,2024,12,1.479
Andorra,020,2025,12,2.392
Angola,024,2020,1,1.561
Angola,024,2021,1,0.886
Angola,024,2022,1,0.864
Angola,024,2023,1,0.481
Angola,024,2024,1,1.726
Angola,024,2025,1,0.608
Angola,024,2020,2,0.608
Angola,024,2021,2,1.002
Angola,024,2022,2,1.148
Angola,024,2023,2,1.044
Angola,024,2024,2,2.075
Angola,024,2025,2,-0.113
Angola,024,2020,3,-0.2
Angola,024,2021,3,0.565
Angola,024,2022,3,-0.186
Angola,024,2023,3,0.679
Angola,024,2024,3,1.773
Angola,024,2025,3,0.648
Angola,024,2020,4,-0.342
Angola,024,2021,4,1.374
Angola,024,2022,4,0.803
Angola,024,2023,4,1.163
Angola,024,2024,4,-1.079
Angola,024,2025,4,0.7
Angola,024,2020,5,-0.784
Angola,024,2021,5,1.275
Angola,024,2022,5,-0.038
Angola,024,2023,5,1.603
Angola,024,2024,5,1.881
Angola,024,2025,5,0.891
Angola,024,2020,6,1.464
Angola,024,2021,6,2.547
Angola,024,2022,6,1.175
Angola,024,2023,6,1.579
Angola,024,2024,6,1.6
Angola,024,2025,6,1.438
Angola,024,2020,7,2.048
Angola,024,2021,7,2.672
Angola,024,2022,7,1.967
Angola,024,2023,7,2.314
Angola,024,2024,7,3.625
Angola,024,2025,7,1.439
Angola,024,2020,8,1.876
Angola,024,2021,8,2.197
Angola,024,2022,8,1.193
Angola,024,2023,8,2.023
Angola,024,2024,8,1.734
Angola,024,2025,8,0.693
Angola,024,2020,9,1.074
Angola,024,2021,9,1.772
Angola,024,2022,9,0.601
